5k net
link numbers: 433028
pagerank top 100:

13218 0.007961120543303096
1 0.0067265899895484664
6728 0.004379214656430538
1698 0.003806433570319327
13186 0.00375143540659728
397 0.003718675333709717
4252 0.003693846799966199
13207 0.003480566565276201
948 0.003141483889436128
12151 0.0031170452971953297
13217 0.002989436789172679
13213 0.0029084833689833884
13216 0.002697827671593057
1295 0.002679836023204431
5600 0.0026774619413621145
1646 0.002672796670333825
435 0.0025976484691730825
763 0.00256260285747259
501 0.0024622109662360185
2743 0.002451202282166054
907 0.002404565770302831
2753 0.0023820828568003704
13187 0.002351911039748009
13808 0.0023200172537778054
1613 0.002289763688745384
3604 0.0022886719064340757
3621 0.002222392499887933
1296 0.002206050903667284
12845 0.002162278876452272
13179 0.0020808889323048435
803 0.00205692136893545
1389 0.0020082953660682545
2045 0.0019793805587636133
984 0.0019430990836415882
1814 0.0019405331400804754
667 0.0019356691973106128
13193 0.001866027191214614
13208 0.001860314203700839
3032 0.001844638157859628
867 0.0018316587020435553
13185 0.0017753670697001841
203 0.0017739879852163476
1117 0.0017676792200930107
101 0.0017581834611214641
780 0.0017072031693164027
568 0.0017070101500174341
4327 0.0017037937619167093
9436 0.0016461441864233837
225 0.0016351371981309874
869 0.0016066030904235635
32 0.001598098092248101
13044 0.0015849624327601652
13182 0.0015649748289239432
3058 0.0015524752496678955
13766 0.0015279411844304756
13653 0.0015203793049456125
13657 0.0015160348994945926
2887 0.0015118207909860003
144 0.001508606915427516
2881 0.0015078441549338626
214 0.0015061943881199613
10299 0.0014791962590814814
898 0.0014705982371785394
3211 0.0014689536973515336
13841 0.001468597455950663
647 0.0014669089023445884
1577 0.0014658822726615383
13828 0.0014513678117656081
5885 0.0014471529101529295
13204 0.0014430649203105962
13988 0.0014389985547575306
13838 0.0014388391975534544
13846 0.0014328426814142303
4587 0.0014208950612407535
743 0.0013982103838268136
738 0.001394351983447924
460 0.0013805537431454513
188 0.0013799798136811738
13909 0.0013661849936465575
3361 0.0013627724148631208
1333 0.001355897986726583
3456 0.0013467979930044378
1251 0.0013439518623603822
766 0.001337142206133437
138 0.0013141565574491647
6870 0.0013130456090463178
12520 0.0013010924400258816
739 0.0012921876337394906
3985 0.001289842972525181
1017 0.0012580096311470387
22 0.0012410524543732609
655 0.0012408724405130519
13847 0.0012304074973529013
16620 0.0012291424840809421
13219 0.001229049307615499
12761 0.0012147728596259414
297 0.0012061452552403395
13607 0.001204269527903594
13765 0.0012009729167110608
1679 0.0012006578325993097

10k net
link numbers: 257112
pagerank top 100:

13218 0.0084820372935302
1 0.007236085667825101
1698 0.004780184369588441
397 0.004431866599756733
4252 0.00438112291747671
6728 0.0041947087310879524
13186 0.004087560332999094
948 0.004056517610218534
13207 0.00403032754861045
12151 0.003413454764789897
1295 0.0031757584094145364
13217 0.00315188319615984
1646 0.003052116090242737
435 0.003042735567302984
763 0.003023444423486462
5600 0.003009681806881161
2743 0.0029102833701566866
13179 0.002909877425724233
501 0.002904146594745761
13213 0.0029039461204490276
2753 0.0028833562821281287
13216 0.0028564739969715583
907 0.002819688233257563
1613 0.00274682707901912
3621 0.002745519133809264
3604 0.002661339825665244
13808 0.002647547449105025
1296 0.0025642302155384905
13187 0.0025000405093407235
1389 0.0024662545271386376
2045 0.00245383336997193
12845 0.002402345609798657
803 0.002341909654111042
13208 0.002286588385244991
667 0.0022729547902930695
3032 0.0022696924481844707
984 0.002249547840569835
1814 0.0022440052944460265
568 0.00219781828317939
867 0.002160216884940088
101 0.0021293245458192398
1117 0.002116990578432732
780 0.002040788662581234
225 0.0020202384413880777
13193 0.002007487389666347
203 0.0019877688656871964
4327 0.001984360150825869
869 0.001976191581083542
3058 0.0019364286330586333
2887 0.0019126265083870713
32 0.0019049021111707393
13185 0.0018952196467361937
13988 0.0018856617228282765
13766 0.0018808668305001438
214 0.001875176792811211
13657 0.0018623891571615246
13653 0.0018446848529593918
3211 0.0018371297826975052
9436 0.0018147084556553485
188 0.001795366009921953
13182 0.0017953470821232356
13044 0.0017926503422168083
460 0.0017660360573878897
5885 0.0017643987183815469
144 0.0017607404252765791
13841 0.001751444218693455
2881 0.0017478755581975501
647 0.0017436566051470185
13838 0.0017434447414979382
1333 0.001735335285599392
13846 0.001734115928058424
